                Time     Total_Variation            L2_Error            L1_Error
          0.00000000          2.00000000          0.00000000          0.00000000
          0.01250000          2.00000000          0.07905694          0.01250000
          0.02500000          2.00000000          0.04192627          0.00937500
          0.03750000          2.00000000          0.08010256          0.01538462
          0.05000000          2.00000000          0.05296429          0.01262019
          0.06250000          2.00000000          0.08164551          0.01727036
          0.07500000          2.00000000          0.05906676          0.01471481
          0.08750000          2.00000000          0.08310997          0.01871003
          0.10000000          2.00000000          0.06324881          0.01629906
          0.11250000          2.00000000          0.08443587          0.01989088
          0.12500000          2.00000000          0.06642538          0.01758927
          0.13750000          2.00000000          0.08563274          0.02090048
          0.15000000          2.00000000          0.06898709          0.01868616
          0.16250000          2.00000000          0.08671950          0.02178737
          0.17500000          2.00000000          0.07113499          0.01964527
          0.18750000          2.00000000          0.08771367          0.02258145
          0.20000000          2.00000000          0.07298566          0.02050070
          0.21250000          2.00000000          0.08862970          0.02330260
          0.22500000          2.00000000          0.07461258          0.02127497
          0.23750000          2.00000000          0.08947923          0.02396472
          0.25000000          2.00000000          0.07606500          0.02198381
          0.26250000          2.00000000          0.09027159          0.02457796
          0.27500000          2.00000000          0.07737750          0.02263865
          0.28750000          2.00000000          0.09101434          0.02514996
          0.30000000          2.00000000          0.07857528          0.02324808
          0.31250000          2.00000000          0.09171364          0.02568667
          0.32500000          2.00000000          0.07967730          0.02381874
          0.33750000          2.00000000          0.09237460          0.02619275
          0.35000000          2.00000000          0.08069814          0.02435585
          0.36250000          2.00000000          0.09300144          0.02667201
          0.37500000          2.00000000          0.08164928          0.02486364
          0.38750000          2.00000000          0.09359774          0.02712752
          0.40000000          2.00000000          0.08253992          0.02534554
          0.41250000          2.00000000          0.09416654          0.02756186
          0.42500000          2.00000000          0.08337754          0.02580439
          0.43750000          2.00000000          0.09471044          0.02797719
          0.45000000          2.00000000          0.08416829          0.02624258
          0.46250000          2.00000000          0.09523167          0.02837533
          0.47500000          2.00000000          0.08491732          0.02666213
          0.48750000          2.00000000          0.09573218          0.02875786
          0.50000000          2.00000000          0.08562897          0.02706477
